llave,jornada,region,zona,nombre,mes,total_tx,t_ocup,num_cajeros
2100002,21,Bogota Sur,Teusaquillo,0000 - Oficina Principal,201806,5807,0.614285182882612,3
2100022,21,Bogota Sur,Calle 26,0002 - Centro ADM CAN,201806,7289,0.760670920091029,3
2100042,21,Bogota Norte,Chapinero,0004 - Calle 53 -Exito,201806,7336,0.7549950742919,3
2100052,21,Bogota Norte,Noroccidente,0005 - Suba,201806,7014,0.726195041356131,3
2100062,21,Bogota Norte,Santa Barbara,0006 - Cedritos,201806,6904,0.722915567378163,3
2100072,21,Bogota Norte,Carrera Septima,0007 - Antiguo Country,201806,8129,0.850077609351782,3
2100082,21,Bogota Norte,Carrera Septima,0008 - El Chico,201806,5687,0.596086967848641,3
2100092,21,Bogota Norte,Carrera Septima,0009 - Calle 100,201806,5498,0.572993566466695,3
2100102,21,Bogota Sur,Centro Oriental,0010 - Avenida Caracas,201806,6089,0.645943485086124,3
2100112,21,Central,Sabana,0011 - Bacata Funza,201806,9754,0.802724469534806,3
2100122,21,Bogota Norte,Calle 72,0012 - Pasadena,201806,5648,0.59184811921883,3
2100132,21,Oriente,Magdalena Medio,0013 - Galan,201806,9999,0.835973120362369,3
2100142,21,Bogota Norte,Calle 72,0014 - Los Heroes,201806,6127,0.639565601857487,3
2100152,21,Bogota Sur,Teusaquillo,0015 - Centro Comercial Calima Bogota,201806,12470,1.04664171971864,3
2100162,21,Bogota Norte,Noroccidente,0016 - Cota,201806,10155,0.632431485174746,4
2100172,21,Bogota Sur,Calle 26,0017 - CUAN,201806,4614,0.482492793628021,3
2100182,21,Bogota Sur,Zona Industrial,0018 - Zona Industrial Montevideo,201806,7163,0.744531673360129,3
2100192,21,Bogota Sur,Sur Oriente,0019 - Barrio Restrepo,201806,10716,0.839332103276962,4
2100202,21,Bogota Sur,Zona Industrial,0020 - San Jose,201806,4980,0.520962357400671,3
2100212,21,Bogota Sur,Sur Oriente,0021 - Veinte de Julio,201806,11793,0.911645216230681,4
2100222,21,Bogota Sur,Autopista Sur,0022 - Venecia,201806,7506,0.781677084616053,3
2100232,21,Bogota Sur,Calle 26,0023 - Modelia,201806,8128,0.849892468271227,3
2100242,21,Bogota Norte,Occidental,"0024 - Centro Comercial Diver Plaza Alamos
",201806,13297,0.821239555903751,4
2100252,21,Bogota Sur,Occidente,0025 - Plaza de las Americas,201806,14129,0.887985164448339,4
2100262,21,Bogota Sur,Sur Oriente,0026 - Santuario 20 de Julio,201806,8737,0.718325712614041,3
2100272,21,Bogota Sur,Occidente,0027 - Carvajal,201806,6605,0.693380375603073,3
2100282,21,Bogota Sur,Teusaquillo,0028 - Calle 13 Carrera 30,201806,4583,0.477224687028959,3
2100302,21,Bogota Norte,Noroccidente,0030 - Gaitana,201806,10523,1.08793960071305,3
2100322,21,Bogota Sur,Teusaquillo,0032 - Carrera 24 N° 26-01,201806,7515,0.780639431340133,3
2100332,21,Bogota Sur,Centro Oriental,0033 - Andes,201806,7287,0.762165858798,3
2100342,21,Bogota Sur,Centro Oriental,0034 - Parque Santander,201806,7765,0.808887859476332,3
2100352,21,Bogota Sur,Centro Oriental,0035 - Avenida 19,201806,7222,0.744658788420321,3
2100362,21,Bogota Sur,Centro Oriental,0036 - Carrera 10 Calle 17,201806,7720,0.804768924012954,3
2100372,21,Bogota Sur,Teusaquillo,0037 - Carrera 47,201806,6392,0.662556312398341,3
2100382,21,Bogota Norte,Calle 72,0038 - Avenida Chile,201806,5906,0.616133583462029,3
2100392,21,Bogota Norte,Carrera Septima,0039 - Parque El Virrey,201806,8001,0.838690980215089,3
2100402,21,Bogota Norte,Chapinero,0040 - Chapinero,201806,6794,0.70487229937509,3
2100412,21,Bogota Norte,Chapinero,0041 - Calle 54 N° 10-73,201806,5672,0.882485274372065,2
2100432,21,Bogota Sur,Teusaquillo,0043 - Universidad Javeriana,201806,3704,0.382598204825192,3
2100442,21,Bogota Norte,Noroccidente,0044 - Ilarco,201806,7050,0.732898806658928,3
2100452,21,Bogota Sur,Occidente,0045 - Central de Abastos,201806,11720,0.751754735081085,4
2100462,21,Bogota Sur,Calle 26,0046 - Ciudad Salitre,201806,6532,0.683557136609971,3
2100472,21,Bogota Norte,Santa Barbara,0047 - Unicentro Bogota Entrada Principal,201806,12464,0.789893739916291,4
2100492,21,Bogota Norte,Calle 72,0049 - El Castillo,201806,8839,0.693518937893775,4
2100502,21,Bogota Norte,Calle 72,0050 - El Nogal,201806,6124,0.637529743291328,3
2100512,21,Bogota Sur,Centro Oriental,0051 - Las Aguas,201806,5300,0.548909706356268,3
2100522,21,Bogota Sur,No hay informacion,0052 - Central San Martin,201806,6700,0.694472404216974,3
2100542,21,Bogota Sur,Teusaquillo,0054 - Paloquemao,201806,8318,0.880397637346236,3
2100552,21,Bogota Sur,Zona Industrial,0055 - Calle 9a. Carrera 34,201806,7058,0.745764006437432,3
2100562,21,Bogota Norte,Chapinero,0056 - Carrera 11 N° 68-09,201806,5344,0.556330167725689,3
2100572,21,Bogota Sur,Zona Industrial,0057 - Ricaurte,201806,7873,0.830790550436598,3
2100582,21,Bogota Sur,Centro Oriental,0058 - San Agustin,201806,5715,0.599905196125687,3
2100592,21,Central,Cundinamarca,0059 - Mesitas del Colegio,201806,4726,0.73898702973818,2
2100602,21,Bogota Sur,Occidente,0060 - Kennedy,201806,8982,0.93177282685269,3
2100612,21,Bogota Sur,Autopista Sur,0061 - Centro IND. Cazuca,201806,5602,0.58482179624504,3
2100622,21,Bogota Sur,Calle 26,0062 - San Diego,201806,5684,0.591666927174886,3
