jornada,region,mes,menor_70,entre_70_90,mayor_90,porc_menor_70,porc_entre_70_90,porc_mayor_90,tx_to_menor70,tx_to_entre70y90,tx_to_mayor90
21,Antioquia,201806,73,40,5,0.61864406779661,0.338983050847458,0.0423728813559322,431194,305240,51381
21,Banca Oficial II,201806,1,0,0,1,0,0,11139,0,0
21,Bogota Norte,201806,31,48,8,0.35632183908046,0.551724137931035,0.0919540229885057,174602,387461,86175
21,Bogota Sur,201806,33,45,18,0.34375,0.46875,0.1875,167241,401807,185980
21,Central,201806,55,34,15,0.528846153846154,0.326923076923077,0.144230769230769,229993,193473,119676
21,Costa,201806,67,25,5,0.690721649484536,0.257731958762887,0.0515463917525773,356159,163968,33050
21,Direccion Banca Premium,201806,15,0,0,1,0,0,11309,0,0
21,Occidente,201806,32,48,21,0.316831683168317,0.475247524752475,0.207920792079208,175424,396895,179464
21,Oriente,201806,33,36,13,0.402439024390244,0.439024390243902,0.158536585365854,176192,261726,81343
22,Antioquia,201806,5,0,0,1,0,0,11231,0,0
22,Banca Oficial II,201806,1,0,0,1,0,0,1998,0,0
22,Bogota Norte,201806,1,4,1,0.166666666666667,0.666666666666667,0.166666666666667,2580,15898,5136
22,Bogota Sur,201806,4,7,4,0.266666666666667,0.466666666666667,0.266666666666667,5424,22934,17088
22,Central,201806,11,2,0,0.846153846153846,0.153846153846154,0,14807,3672,0
22,Costa,201806,5,1,2,0.625,0.125,0.25,8226,3308,6904
22,Occidente,201806,4,0,0,1,0,0,11415,0,0
22,Oriente,201806,18,2,0,0.9,0.1,0,37959,3988,0
23,Antioquia,201806,1,0,0,1,0,0,599,0,0
23,Banca Oficial II,201806,1,0,0,1,0,0,740,0,0
23,Bogota Norte,201806,14,0,0,1,0,0,13329,0,0
23,Bogota Sur,201806,8,1,0,0.888888888888889,0.111111111111111,0,8914,877,0
23,Central,201806,10,0,0,1,0,0,4962,0,0
23,Costa,201806,4,1,0,0.8,0.2,0,3134,1267,0
23,Occidente,201806,3,0,0,1,0,0,1942,0,0
23,Oriente,201806,18,0,0,1,0,0,11444,0,0
21,Antioquia,201807,68,43,7,0.576271186440678,0.364406779661017,0.0593220338983051,423911,331672,67519
21,Banca Oficial II,201807,1,0,0,1,0,0,11684,0,0
21,Bogota Norte,201807,33,49,5,0.379310344827586,0.563218390804598,0.0574712643678161,189221,415426,56699
21,Bogota Sur,201807,34,51,11,0.354166666666667,0.53125,0.114583333333333,180362,456744,126338
21,Central,201807,49,39,16,0.471153846153846,0.375,0.153846153846154,205419,238927,135209
21,Costa,201807,64,24,9,0.65979381443299,0.247422680412371,0.0927835051546392,346973,168862,61204
21,Direccion Banca Premium,201807,15,0,0,1,0,0,11930,0,0
21,Occidente,201807,32,54,19,0.304761904761905,0.514285714285714,0.180952380952381,151165,459490,168296
21,Oriente,201807,29,38,15,0.353658536585366,0.463414634146342,0.182926829268293,147850,290973,112109
22,Antioquia,201807,5,0,0,1,0,0,12749,0,0
22,Banca Oficial II,201807,1,0,0,1,0,0,2313,0,0
22,Bogota Norte,201807,2,3,2,0.285714285714286,0.428571428571429,0.285714285714286,2789,13142,10147
22,Bogota Sur,201807,5,5,5,0.333333333333333,0.333333333333333,0.333333333333333,4522,20442,22306
22,Central,201807,10,2,1,0.769230769230769,0.153846153846154,0.0769230769230769,12849,5316,1422
22,Costa,201807,5,1,2,0.625,0.125,0.25,8113,3402,6849
22,Occidente,201807,4,0,0,1,0,0,11751,0,0
22,Oriente,201807,18,2,0,0.9,0.1,0,41392,3821,0
23,Antioquia,201807,2,0,0,1,0,0,395,0,0
23,Banca Oficial II,201807,1,0,0,1,0,0,493,0,0
23,Bogota Norte,201807,12,0,0,1,0,0,7300,0,0
23,Bogota Sur,201807,9,0,0,1,0,0,7149,0,0
23,Central,201807,10,0,0,1,0,0,4367,0,0
23,Costa,201807,4,2,0,0.666666666666667,0.333333333333333,0,2283,1953,0
23,Occidente,201807,4,0,0,1,0,0,2198,0,0
23,Oriente,201807,17,0,0,1,0,0,7377,0,0
21,Antioquia,201808,76,37,5,0.64406779661017,0.313559322033898,0.0423728813559322,479444,294787,54549
21,Banca Oficial II,201808,1,0,0,1,0,0,10767,0,0
21,Bogota Norte,201808,43,38,6,0.494252873563218,0.436781609195402,0.0689655172413793,264111,336575,67577
21,Bogota Sur,201808,39,50,7,0.40625,0.520833333333333,0.0729166666666667,226747,456640,83180
21,Central,201808,54,34,15,0.524271844660194,0.330097087378641,0.145631067961165,237255,205816,126594
21,Costa,201808,67,23,7,0.690721649484536,0.237113402061856,0.0721649484536082,365767,167708,48604
21,Direccion Banca Premium,201808,15,0,0,1,0,0,12139,0,0
