jornada,region,zona,mes,menor_70,entre_70_90,mayor_90,porc_menor_70,porc_entre_70_90,porc_mayor_90,tx_to_menor70,tx_to_entre70y90,tx_to_mayor90
21,Antioquia,Caldas,201806,9,1,0,0.9,0.1,0,51629,8679,0
21,Antioquia,Medellin Centro,201806,5,6,0,0.454545454545455,0.545454545454545,0,26367,47152,0
21,Antioquia,Medellin El Poblado,201806,8,3,0,0.727272727272727,0.272727272727273,0,49125,29334,0
21,Antioquia,Medellin Occidental,201806,6,5,0,0.545454545454545,0.454545454545455,0,32074,43594,0
21,Antioquia,Municipios Antioquia,201806,10,3,1,0.714285714285714,0.214285714285714,0.0714285714285714,49872,13744,7684
21,Antioquia,Municipios Antioquia y Choco,201806,11,1,1,0.846153846153846,0.0769230769230769,0.0769230769230769,68727,5658,22574
21,Antioquia,No hay informacion,201806,6,1,1,0.75,0.125,0.125,48792,6829,3198
21,Antioquia,Noroccidente Valle Aburra,201806,5,6,0,0.454545454545455,0.545454545454545,0,35278,45052,0
21,Antioquia,Quindio,201806,5,2,1,0.625,0.25,0.125,26100,11102,9232
21,Antioquia,Risaralda,201806,4,6,1,0.363636363636364,0.545454545454545,0.0909090909090909,23686,42014,8693
21,Antioquia,Sur Valle Aburra,201806,4,6,0,0.4,0.6,0,19544,52082,0
21,Banca Oficial II,No hay informacion,201806,1,0,0,1,0,0,11139,0,0
21,Bogota Norte,Autopista Nororiental,201806,1,5,3,0.111111111111111,0.555555555555556,0.333333333333333,7423,46562,34654
21,Bogota Norte,Calle 72,201806,6,5,0,0.545454545454545,0.454545454545455,0,38528,38088,0
21,Bogota Norte,Carrera Septima,201806,5,9,0,0.357142857142857,0.642857142857143,0,27172,62840,0
21,Bogota Norte,Chapinero,201806,3,6,1,0.3,0.6,0.1,18199,42016,8748
21,Bogota Norte,No hay informacion,201806,9,1,0,0.9,0.1,0,35128,6760,0
21,Bogota Norte,Noroccidente,201806,1,9,2,0.0833333333333333,0.75,0.166666666666667,10155,80662,19288
21,Bogota Norte,Occidental,201806,0,10,2,0,0.833333333333333,0.166666666666667,0,80815,23485
21,Bogota Norte,Santa Barbara,201806,6,3,0,0.666666666666667,0.333333333333333,0,37997,29718,0
21,Bogota Sur,Autopista Sur,201806,2,7,4,0.153846153846154,0.538461538461538,0.307692307692308,11858,60158,33979
21,Bogota Sur,Calle 26,201806,4,5,2,0.363636363636364,0.454545454545455,0.181818181818182,22370,43748,20704
21,Bogota Sur,Centro Oriental,201806,6,6,0,0.5,0.5,0,35039,42044,0
21,Bogota Sur,No hay informacion,201806,9,5,2,0.5625,0.3125,0.125,22889,47371,28476
21,Bogota Sur,Occidente,201806,1,5,4,0.1,0.5,0.4,6605,55247,37901
21,Bogota Sur,Sur Oriente,201806,2,6,3,0.181818181818182,0.545454545454545,0.272727272727273,20670,54727,27847
21,Bogota Sur,Teusaquillo,201806,7,4,1,0.583333333333333,0.333333333333333,0.0833333333333333,36338,30176,12470
21,Bogota Sur,Zona Industrial,201806,2,7,2,0.181818181818182,0.636363636363636,0.181818181818182,11472,68336,24603
21,Central,Cundinamarca,201806,3,11,0,0.214285714285714,0.785714285714286,0,9617,67190,0
21,Central,Girardot,201806,6,2,0,0.75,0.25,0,30689,8092,0
21,Central,Huila - Caqueta,201806,6,3,0,0.666666666666667,0.333333333333333,0,25011,14539,0
21,Central,Magdalena Alto,201806,6,4,1,0.545454545454545,0.363636363636364,0.0909090909090909,28942,17536,9162
21,Central,Meta,201806,5,2,4,0.454545454545455,0.181818181818182,0.363636363636364,16051,7582,32336
21,Central,Neiva - Tolima,201806,10,1,0,0.909090909090909,0.0909090909090909,0,37754,2635,0
21,Central,No hay informacion,201806,4,2,2,0.5,0.25,0.25,6305,16081,17398
21,Central,Sabana,201806,5,6,2,0.384615384615385,0.461538461538462,0.153846153846154,20602,39728,13501
21,Central,Tolima,201806,4,2,3,0.444444444444444,0.222222222222222,0.333333333333333,27131,13181,19476
21,Central,Villavicencio,201806,6,1,3,0.6,0.1,0.3,27891,6909,27803
21,Costa,Barranquilla Centro,201806,4,3,1,0.5,0.375,0.125,26546,21433,5887
21,Costa,Barranquilla Norte,201806,4,4,0,0.5,0.5,0,21194,27151,0
21,Costa,Barranquilla Sur,201806,4,4,3,0.363636363636364,0.363636363636364,0.272727272727273,26350,27645,20537
21,Costa,Bolivar - San Andres/Prov.,201806,9,1,1,0.818181818181818,0.0909090909090909,0.0909090909090909,61548,6216,6626
21,Costa,Cesar,201806,8,5,0,0.615384615384615,0.384615384615385,0,38903,30495,0
21,Costa,Magdalena - Guajira,201806,9,3,0,0.75,0.25,0,64817,21183,0
21,Costa,No hay informacion,201806,28,5,0,0.848484848484848,0.151515151515152,0,112785,29845,0
21,Costa,Sucre,201806,1,0,0,1,0,0,4016,0,0
21,Direccion Banca Premium,No hay informacion,201806,6,0,0,1,0,0,4607,0,0
21,Direccion Banca Premium,Premium Antioquia,201806,3,0,0,1,0,0,1008,0,0
21,Direccion Banca Premium,Premium Bogota 1,201806,2,0,0,1,0,0,1589,0,0
21,Direccion Banca Premium,Premium Bogota 2,201806,2,0,0,1,0,0,1546,0,0
21,Direccion Banca Premium,Premium Occidente,201806,2,0,0,1,0,0,2559,0,0
21,Occidente,Cali Aeropuerto,201806,2,6,3,0.181818181818182,0.545454545454545,0.272727272727273,14724,51436,21734
21,Occidente,Cali Centro,201806,2,7,1,0.2,0.7,0.1,16997,57013,6309
21,Occidente,Cali Norte,201806,3,7,2,0.25,0.583333333333333,0.166666666666667,15550,52925,17710
21,Occidente,Cali Oriente,201806,1,5,6,0.0833333333333333,0.416666666666667,0.5,6122,32589,53159
21,Occidente,Cali Sur,201806,1,8,3,0.0833333333333333,0.666666666666667,0.25,8032,89952,27011
21,Occidente,Narino - Cauca,201806,5,4,1,0.5,0.4,0.1,45103,30104,11625
21,Occidente,No hay informacion,201806,12,6,3,0.571428571428571,0.285714285714286,0.142857142857143,33787,52567,15183
21,Occidente,Valle del Cauca,201806,6,5,2,0.461538461538462,0.384615384615385,0.153846153846154,35109,30309,26733
21,Oriente,Boyaca,201806,1,11,0,0.0833333333333333,0.916666666666667,0,4467,74227,0
21,Oriente,Boyaca y Norte de Cundinamarca,201806,7,1,2,0.7,0.1,0.2,30863,7865,12861
21,Oriente,Bucaramanga,201806,4,6,2,0.333333333333333,0.5,0.166666666666667,32050,43975,17707
21,Oriente,Casanare y Bucaramanga,201806,5,4,1,0.5,0.4,0.1,27956,32305,9082
21,Oriente,Magdalena Medio,201806,4,4,1,0.444444444444444,0.444444444444444,0.111111111111111,31884,27785,3941
21,Oriente,No hay informacion,201806,10,5,4,0.526315789473684,0.263157894736842,0.210526315789474,35810,26589,21525
21,Oriente,Norte de Santander y Arauca,201806,2,5,3,0.2,0.5,0.3,13162,48980,16227
22,Antioquia,Medellin El Poblado,201806,3,0,0,1,0,0,6347,0,0
22,Antioquia,Medellin Occidental,201806,1,0,0,1,0,0,3358,0,0
22,Antioquia,No hay informacion,201806,1,0,0,1,0,0,1526,0,0
22,Banca Oficial II,No hay informacion,201806,1,0,0,1,0,0,1998,0,0
22,Bogota Norte,No hay informacion,201806,0,1,0,0,1,0,0,2949,0
22,Bogota Norte,Noroccidente,201806,0,0,1,0,0,1,0,0,5136
22,Bogota Norte,Occidental,201806,0,2,0,0,1,0,0,8051,0
22,Bogota Norte,Santa Barbara,201806,1,1,0,0.5,0.5,0,2580,4898,0
22,Bogota Sur,Autopista Sur,201806,0,0,2,0,0,1,0,0,6650
22,Bogota Sur,Calle 26,201806,1,1,0,0.5,0.5,0,4208,3011,0
22,Bogota Sur,No hay informacion,201806,3,2,0,0.6,0.4,0,1216,3662,0
22,Bogota Sur,Occidente,201806,0,2,0,0,1,0,0,7919,0
22,Bogota Sur,Teusaquillo,201806,0,0,1,0,0,1,0,0,5429
22,Bogota Sur,Zona Industrial,201806,0,2,1,0,0.666666666666667,0.333333333333333,0,8342,5009
22,Central,Cundinamarca,201806,1,1,0,0.5,0.5,0,1353,2193,0
22,Central,Girardot,201806,1,1,0,0.5,0.5,0,262,1479,0
22,Central,Huila - Caqueta,201806,1,0,0,1,0,0,1675,0,0
22,Central,Neiva - Tolima,201806,3,0,0,1,0,0,3515,0,0
22,Central,No hay informacion,201806,2,0,0,1,0,0,484,0,0
22,Central,Sabana,201806,1,0,0,1,0,0,2044,0,0
22,Central,Tolima,201806,1,0,0,1,0,0,2827,0,0
22,Central,Villavicencio,201806,1,0,0,1,0,0,2647,0,0
22,Costa,Barranquilla Centro,201806,0,0,1,0,0,1,0,0,3508
